mime_type_id|type|name|extension
105|application/vnd.adobe.fxp|Adobe Flex Project|fxp
106|application/vnd.adobe.xdp+xml|Adobe XML Data Package|xdp
107|application/vnd.adobe.xfdf|Adobe XML Forms Data Format|xfdf
108|application/vnd.ahead.space|Ahead AIR Application|ahead
109|application/vnd.airzip.filesecure.azf|AirZip FileSECURE|azf
110|application/vnd.airzip.filesecure.azs|AirZip FileSECURE|azs
111|application/vnd.amazon.ebook|Amazon Kindle eBook format|azw
112|application/vnd.americandynamics.acc|Active Content Compression|acc
113|application/vnd.amiga.ami|AmigaDE|ami
114|application/vnd.android.package-archive|Android Package Archive|apk
115|application/vnd.anser-web-certificate-issue-initiation|ANSER-WEB Terminal Client - Certificate Issue|cii
116|application/vnd.anser-web-funds-transfer-initiation|ANSER-WEB Terminal Client - Web Funds Transfer|fti
117|application/vnd.antix.game-component|Antix Game Player|atx
118|application/vnd.apple.installer+xml|Apple Installer Package|mpkg
119|application/vnd.apple.mpegurl|Multimedia Playlist Unicode|m3u8
120|application/vnd.aristanetworks.swi|Arista Networks Software Image|swi
121|application/vnd.audiograph|Audiograph|aep
122|application/vnd.blueice.multipass|Blueice Research Multipass|mpm
123|application/vnd.bmi|BMI Drawing Data Interchange|bmi
124|application/vnd.businessobjects|BusinessObjects|rep
125|application/vnd.chemdraw+xml|CambridgeSoft Chem Draw|cdxml
126|application/vnd.chipnuts.karaoke-mmd|Karaoke on Chipnuts Chipsets|mmd
127|application/vnd.cinderella|Interactive Geometry Software Cinderella|cdy
128|application/vnd.claymore|Claymore Data Files|cla
129|application/vnd.cloanto.rp9|RetroPlatform Player|rp9
130|application/vnd.clonk.c4group|Clonk Game|c4g
131|application/vnd.cluetrust.cartomobile-config|ClueTrust CartoMobile - Config|c11amc
132|application/vnd.cluetrust.cartomobile-config-pkg|ClueTrust CartoMobile - Config Package|c11amz
133|application/vnd.commonspace|Sixth Floor Media - CommonSpace|csp
134|application/vnd.contact.cmsg|CIM Database|cdbcmsg
135|application/vnd.cosmocaller|CosmoCaller|cmc
136|application/vnd.crick.clicker|CrickSoftware - Clicker|clkx
137|application/vnd.crick.clicker.keyboard|CrickSoftware - Clicker - Keyboard|clkk
138|application/vnd.crick.clicker.palette|CrickSoftware - Clicker - Palette|clkp
139|application/vnd.crick.clicker.template|CrickSoftware - Clicker - Template|clkt
140|application/vnd.crick.clicker.wordbank|CrickSoftware - Clicker - Wordbank|clkw
141|application/vnd.criticaltools.wbs+xml|Critical Tools - PERT Chart EXPERT|wbs
142|application/vnd.ctc-posml|PosML|pml
143|application/vnd.cups-ppd|Adobe PostScript Printer Description File Format|ppd
144|application/vnd.curl.car|CURL Applet|car
145|application/vnd.curl.pcurl|CURL Applet|pcurl
